processed_text,airline_sentiment
wish flew atlanta soon,neutral
julie andrews hands,neutral
flights leaving dallas la february 24th,neutral
hi excited 99 lga gt dal deal trying 2 book since last week page never loads thanks,negative
know need spotify stat guiltypleasures,positive
lady gaga amazing 😊,positive
carrie,neutral
new marketing song let us know think,neutral
julie andrews first lady gaga wow last night carrie meh,neutral
called 3 4 weeks ago adding 3 flights 2014 elevate still not shown help,negative
great go carrieunderwood 😍 👌,neutral
sorry mary martin first,neutral
love three really cannot beat classics,positive
flight 0736 dal dca 2 24 2 10pm tried check could not status please,neutral
heyyy guyyys trying get hour someone call please,negative
hi virgin hold 40 50 minutes earlier flights la nyc tonight earlier 11 50pm,negative
congrats winning award best deals airline us,positive
everything fine lost bag,negative
need change reservation virgin credit card need modify phone waive change fee online,neutral
emailed customer service team let know need tracking number,neutral
hi booked flight need add baggage,neutral
airline awesome lax loft needs step game 40 dirty tables floors,negative
not worried great ride new plane great crew airlines like,positive
awesome flew sat morning way correct bill,positive
watch best student films country 35 000 feet cmfat 35000feet,neutral
first time flying different rate policy media bags thanks,neutral
going customer service anyway speak human soon possible thank,negative
happened doom,neutral
cannot supp biz traveler like customer service like neverflyvirginforbusiness,negative
applied member inflight crew team 100 interested flightattendant dreampath g,positive
best whenever begrudgingly use airline delayed late flight,negative
no interesting flying cancelled flight next four flights planned neverflyvirginforbusiness,negative
disappointing experience shared every business traveler meet neverflyvirgin,negative
trouble adding flight wife booked elevate account help,negative
cannot bring reservation online using flight booking problems code,neutral
random q distribution elevate avatars bet kitty disproportionate share,neutral
lt 3 flying va life happens trying change trip jperhi help va home page not let,neutral
site back,negative
rnp yeah know,neutral
hi not get points elevate account recent flight add flight points account,neutral
like tv interesting video disappointed cancelled flightled flight flights went jfk saturday,negative
landed lax hour no late flight bag check not business travel friendly nomorevirgin,negative
flight 345 redirected,neutral
website way new website not great user experience time another redesign,negative
cannot check add bag website not working tried desktop mobile,negative
let 2 scanned passengers leave plane told someone remove bag 1st class bin uncomfortable,negative
phone number cannot find call flight reservation,negative
anyone anything today website useless no one answering phone,negative
trying add boy prince ressie sf thursday lax,neutral
must traveler miss flight late flight check bag missed morning appointments lost business sfo 2lax,negative
check new music,neutral
direct flight fll gt sfo unexpected layover vegas 4 fuel yet peeps next bought vegas flight sneaky,negative
no late flight bag check lost business missed flight apt three people flight exp,negative
amazing customer service raeann sf best customerservice virginamerica flying 💕 💕,positive
called service line hung awesome sarcasm,negative
site tripping trying check getting plain text version reluctant enter card info,negative
scheduled sfo 2 dal flight 714 today changed 24th due weather looks like flight still,neutral
getaway deals may 59 one way lots cool cities cheapflights farecompare,positive
great week 🌞 ✈,positive
come back phl already need take us horrible cold pleasecomeback,positive
concerned fly plane needs delayed due tech stop,negative
best airline flown easy change reservation helpful representatives comfortable flying experience,positive
another rep kicked butt naelah represents team beautifully thank,positive
beautiful front end design right cool still book ticket b c back end secure,positive
love team running gate e9 las tonight waited delayed flight kept things entertaining,positive
use another browser 2015 brand reputation built tech response not cross browser compatible website,negative
flight flight booking problems site totally folks problem,negative
like customer service 40 min delay connecting passengers seems long va370,negative
thanks outstanding nyc jfk crew moved mountains get home san francisco tonight,positive
absolute best team customer service ever every time fly delighted thank,positive
provide complimentary upgrades first class available seats,neutral
need change flight scheduled 9 hours 120 min wait time phone calling intern help,negative
completely awesome experience last month bos las nonstop thanks awesome flight depart time vabeatsjblue,positive
watch oscars 2015 jfk gt sfo flight,neutral
flight 882 cancelled flightled,neutral
failing customers check process not link tsa pre check,negative
us terrible airline gave us hotel hotline number said sorry,negative
flight number 276 sfo cabo san lucas arrived yet,neutral
assistance yesterday cancelled flightled flight give us hotel hotline shame,negative
another delayed flight likingyoulessandless,negative
need register service dog first class ticket sfo gt dulles phone queue hour longer pls advise,negative
rock making watch oscars flight redcarpet oscars oscars 2015,positive
dropped track,neutral
always xoxo,positive
cannot book seats flights buy even check creates much anxiety frustrated,negative
would think paying extra 100 bucks rt luggage might afford hiring extra hand lame,negative
best customer service rep world irmafromdallas takes cake,positive
find us flt lax sooner midnight monday would great customer service 😃,neutral
please provide status flight 769 cannot imagine time web indicates dude weather dallas,negative
amazing staff super helpful ran princesshalf spoiled comfort,positive
paid premium fly across country cancelled flight flight offer no check fee upgrade love sad face,negative
question not possible book seat infant 2 not giving option want seat,negative
always together welcome rt welcome,positive
flight home dc sunset globe backtowinter back work refreshed,positive
not understand need dm give answer damaged luggage policy,negative
mean not policy destroyed luggage,negative
special assistance travel alone w 2 kids 1 infant priority boarding,neutral
thank checking tickets purchased customer happy,positive
website ever coming back online,neutral
flight 713 love field sfo definitely cancelled flightled monday february 23,neutral
flight 0769 lga dfw time,neutral
drivers license expired little month fly friday morning using expired license,neutral
problems flight booking problems web site keeps giving error contact phone phone 30 minute wait,negative
reschedule cancelled flightled flights online change button greyed,negative
rang wait 35 minutes book ticket vendor fix site,negative
got flight told 4 50 today checked email 4 50 tomorrow unacceptable,negative
flight lga cancelled flighted stuck dallas called reschedule told could get flight today 1 2,negative
not pairings include red wine white offered redwineisbetter,negative
website,negative
site seems little wonked right may want look tried two browsers no css,negative
disappointed agent designated silver status check line airport closed assist pasengers,negative
plans include austin dallas route topnews arab emirates,neutral
normal receive no reply central baggage baggageissues smh,negative
logan airport waiting checkin 9am flight checkin desk not open,negative
jump dallas austin market news,neutral
beats eps views takes southwestair va love investor business daily,neutral
lister show monday 1230 130,neutral
begin dallas austin flights april 88 9 ketr,neutral
congrats got business ewr sfo lax fuck fl1289 sfo ewr clincher,negative
applied 2 weeks ago not heard back flying week disappointed,negative
would love know policy damaged luggage,neutral
thank follow,positive
many apologies r worse airlines not even respond cudtomers,negative
shame va making people spend money stranded cities airlines landing jfk reimburse,negative
dm,neutral
please flights sjc no choice fly southwest vegas 😩 😭,neutral
bad say takes 10 14 days via confirmation email inquired 3 weeks claim 6 8 weeks,negative
flight bos gt las tomorrow cancelled flightled no notification wait times 1 hour rebook another airline,negative
rt met match got status another airline upgrade restr 😎,positive
way fly elevate gold,positive
guys flights cmh,neutral
lot apologies thrown customers see sad thanks nothing worst airline ever,negative
flight stuff wrong nothing worst flight ever,negative
issue finding missing item plane help find airport plane headed next,neutral
match americanairlines status cool,positive
met match got status another airline upgrade es ar 🙉,neutral
trying book flight guys website not let lose business,negative
suck,negative
dm issue persisting,negative
never rec cancelled flightlation notice left w no options fly ps driving la red eye mon w kids,negative
trying book flight site 😁,negative
flights flying boston tomorrow need home cancelled flightled flight not anything,negative
stink flight cancelled flighted psp jfk no notification ability rebook disappointed expected better,negative
love guy song dancing high school dance revue,positive
website trying check,negative
done thank quick response apparently faster sitting hold,positive
nervous flight dc lax getting cancelled flightled tomorrow sent dm help,neutral
cool picture another virginamerica plane wing site,positive
keep great work,positive
goodness people field amazing pressure texas beatstheothers crisis please fly ny ❤,positive
thanks great flight la boston pilots great job landing snow go back la seriously,positive
please get new york area monday afternoon,neutral
thanks much awesome support guys rock,positive
seats row 8 not recline mention website soreback,negative
flight 404 delayed 2 hours la due mechanical problems handle like pros could tossed us free drink,negative
cancelled flight flights today no precipitation scared ❄ ❄ ❄,negative
twitter team guys killed rescheduling soon possible thank,positive
guys charged 100 reschedule flight cancelled flighted refusing refund deal,negative
cannot access website safari iphone 6 seems work mac ipad need iphone add passbook,negative
ipad iphone clicking checkin link email received 24hrs flight,neutral
mobile site broken shows header elevateuser numofpointsavailable 0 number points not let checkin,negative
really looking forward flight let know rescheduled diehardvirgin,negative
cancelled flight flight vx413 one sec delayed airport next cancelled flightled going email call reschedule,negative
problem link email check thanks,negative
change another airline get dc today able land dc not cost 800 ugh,negative
looking forward first flight today cancelled flightled along subsequent one,negative
putting great deals pdx las las pdx show love,positive
wish afford fly next friday going back home love everything airline,positive
going deal dallas dc no deal dc dallas sad,negative
bug report guys,neutral
hold times call center bit much,negative
like,positive
site help,negative
best flight attendant ever,positive
awesome rt watch nominated films 35 000 feet meetthefleet oscars,positive
thanks much,positive
trying reset password email never arrives help,negative
airline based silicon valley disruption fcmostinnovative incubator,positive
nicely done 👏,positive
looking forward watching oscars flight home tomorrow might even get something bubbly drink,positive
reason delay departure vx 413 jfk afternoon,negative
todays flight palm springs ca jfk ny cancelled flightled,negative
hahaha guys amazing love guys 😂 💗,positive
sounds like fun,positive
updates flight 413 jfk gt lax,neutral
spruce moose,neutral
css site 404 right please fix site unusable,negative
flight 910 vegas boston today checked online bag count not register fix somehow,negative
classiq love virgin america greetingz,positive
hi trying check website not working tried 3 different browsers problem continues,negative
thanks great customer service today helping get travel sorted,positive
thanks guys sweet route rockies airplanemodewason,positive
love 90s music blasting gate boston waiting flight sanfrancisco could get iced coffee,positive
passenger 7d flt 338 assaulted not flown trust banned crew filed report,negative
current bug website shows select departure city selecting destination city,negative
luggage severely dented missing wheel coming baggage claim san luggage agent miranda think not help,negative
thank easy itinerary shift impending weather quick painless free,positive
would love see girls inspired become pilots rt free woaw event march 2 8 abq,neutral
thanks good times back vodkatonics entire flight sfo 🍸,positive
beats expectations shares take santa cruz sentinel,neutral
plans start flying direct dal las,neutral
big love gratitude mpower w werin oscars 2105 vipswagbags @ avalonhollywood,neutral
great job adding little luxuries aesthetics improve air travel experience thank keep,positive
requested window seat confirmed window got stuck middle seat not good way treat silver member 😒,negative
grand budapest hotel oscarscountdown,neutral
missed next trip 407,neutral
wtf paid direct flight purpose not stop fuel exhausted frequent flier nothing inconvenience,negative
something wrong website safari iphone,negative
thanks gate checking baggage full flight dfw lax 883 giving early boarding sweet,positive
already checked page expired x,negative
boo not refunding seat upgrade fee not want buy first place,negative
shares rise q4 financial results usa today,neutral
adds pillows instead lie flat seats first class arms race,neutral
see,positive
way take advantage mayweatherpacquiao,neutral
know flying virgin fight mayweatherpacquiao,neutral
inflight team makes experience amazing,positive
cutest salt pepper shaker ever think guys cannot get better,positive
moved seat no notice better seat cabin select not behind row selected disappointed 👎,negative
shares 4q results,neutral
fav airline,positive
hot female pilot sweet dca sfo,positive
guys going start flying paris welcome 👍 👍 ✈ ✈ 💗,neutral
policy flying surgery still waiting answer tell doctor,neutral
already contacted central baggage sent dm charging dress lost suitcase help,negative
thank,positive
anything going website getting lot errors past 30 minutes,negative
think left something plane yesterday call ah,neutral
need follow back order dm,neutral
need start flying 😊 😀 😃 😄,neutral
told check airline regulation first contacted,neutral
checked flight sfo lax told atlantic flying club gold get no benefits,negative
husband ordered three drinks via screen never came awesome,negative
sooo guys going leave seatbelt light flight barely call turbulence,negative
policy flying surgery,neutral
posts second consecutive full year net profit,neutral
funny story website broken missing javascript stylesheets checkin process dislike,negative
would love virgin like,positive
results handily exceed forecasts,neutral
applied position wondering guys received application,neutral
achieves second year profitability despite revenue pressure aviation,neutral
gives positive outlook sees increased competition,neutral
trying check 10 50am ct flight tmm desktop website not working sort caching bug,negative
weather delays gt next weeks jfk bos dca,neutral
check website go airport,neutral
guys know check links emails broken,negative
pilot says expect choppy landing nyc due gusty winds w temperature 5 degrees w windchill 8,neutral
loved cannot wait monday return flight mostly watch inflight safety video sorrynotsorry,positive
lost luggage 4 days ago flight vx 112 lax iad calling every day no response please give back stuff,negative
flight booking problems section website seems broken chrome might want look,negative
hi wanted see new routes planned year newark love flying guys hope,positive
mean probably inappropriate board,positive
happy spend day together let us,positive
saving sanity right,neutral
missed flight standby work,neutral
understanding helped thanks comps,positive
brought way across country today see,neutral
thank absolutely 😎,positive
looks like broken link assets,negative
ready let us say together nooo turbulence today 😘,neutral
manage itinerary section website seems broken,negative
cannot check site looks like every time loads,negative
help fund needs urgent treatment 2y old battling cancer could help flights freyasfund 👸 💗,neutral
may start service hawaii sanfrancisco year biztravel,neutral
carriers less half price round trip fare stunned,negative
wtf happening pdx late flight march one way sfo 550,negative
add dtw sold,neutral
free drinks flight back free promo,positive
momma made 😁 😁 😁,neutral
please contact portfolio left flight vx 27 jfk sfo tonite seat 7am need returned call 914 329 0185,neutral
help flight 27 jkf tonight seat 7c left portfolio need back,neutral
seattle bound wifey got duffle vday keeper holla,neutral
luggage gone filed paperwork promised call email still no resolution response central luggage,negative
debbie baldwin gave rockstar performance safety demo evening vx919 las 2sfo bestcrew sherocks,neutral
thanks taking care flight rockstars travel,positive
thanks lovely soft views travel san sfo,positive
requested mileage challenge status several weeks ago online not heard back get help,negative
trying book tickets nyc facing super fun broken styling not worry keep trying,negative
many thanks follow ourprincess freyasfund usa bandie looking help 😍 💗 💗 💗 🎀 🌏 🎀,neutral
nice lofty view silverstatus,neutral
applied status match feb 1 got confirmation email day still no news though guys dropped ball late flightly 😥,negative
new go airline,neutral
help ourprincess need help usa 🎀 🎀 🎀,neutral
adore looking forward flight austin two weeks,positive
glad mentioned took first virgin flight years back transformative experience,positive
flight booking problems flight uphold status match taxes ticket count earned status points statusmatch virginamerica,neutral
trying check looks like site,negative
spending birthday night dal dca get home,negative
sent couple messages email provided no avail try next year cheers,negative
first time flying virgin went sanfrancisco thanks smooth ride easily new fav airline,positive
seriously though not direct flights sfo fll may,negative
fine already done purchase try go way go back 3,negative
not really experience hoping 4 ws forced 2 check small carry w nothing empty cabin space board,negative
wjere luggage slow lax,negative
jump dallas austin market,neutral
spoke representative offered no solution loyal customer flies well,negative
deeply disappointed birthday promo not applied trip booked mere days received email,negative
happened direct flights sfo fll looking may see connecting help dontdothistome,negative
help left blazer kooples jacket bag 3rd row second seat right gate 36 t3 lax flight sfo,neutral
partners checkout mobile payment method help boost mobile conversion rates etailwest payments visa,neutral
promoting product problem southwest recommend noneother best,positive
love guys pls get direct routes las aus,positive
would like help flights please,neutral
bruh turn vxsafetydance,neutral
course work obsessed entire virgin family,positive
ok first time flying tonight,positive
digging swanky pink mood lighting flight nyc sfo needs cabaret singer think,neutral
done need receipt soon possible could please help 150219 0001 14,neutral
2d 3d embossed badges patches superior ones currently using,negative
vx399 jfk la dirty plane not standards,negative
flight vx399 headed la jfk dirtiest va plane ever sad great airline,negative
got squared away someone picked soon tweeted tweeted sooner 😉,positive
avis rental continue button not work website book car tried 4 times phone sucks,negative
delayed to10 30,negative
currently minute 10 hold cust service need anything add lap child reservation,negative
course fun celebrating thanks happy chinese new year,positive
flight booking problems last second flight next week sfo san chance want gift promo code since love guys,positive
comenity bank joke please change nothing constant problems bank,negative
dm also add,neutral
grandma ella 80th would lt 3 birthday greeting flight crew stewardess eastern airlines,positive
bought tix atx dallas route thanks adding love yr airline yr website best transactional site ever,positive
anytime sugafly,neutral
gave credit late flight flight yesterday great service wow moment unexpected gesture,positive
need receipt flight change send one,neutral
submitted status match request back still not heard flying monday look accelerate,negative
safety video loved first cross country flight livewelltraveled sytycd,positive
not look fat looks yummy,positive
ceo says southwest jetblue strayed low cost model,neutral
brilliant brisk boston cue vx363,neutral
atlantic ploughs lone furrow middleeast,neutral
omg omg nonstop dallas austin virgin 😍 😍 ✨ 😱 ✈,positive
planes really pretty thought know,positive
flying hawaii,neutral
pulling hair trying book flight site not work iphone ipad not computer help,negative
get help support ticket 15 days incident 150202 0004 19 thank,negative
good home texas moodlighting,positive
cannot even open laptop seat 4c paid premium let,negative
seat 4c cannot even open laptop paid extra seat,negative
guys starting flights end month guess still road tripping feb 27,neutral
thanks needing way make austin trips dca come,positive
announced new route austin w fares 39 way,neutral
really sprint thought guys kewl 0 0,neutral
cool never planes,positive
39 dollar lax las fares,neutral
great well deserved,positive
fyi info @virginamerica com email address say contact password reset emails not exist emails bounce,negative
status match 2 weeks gone no news flt next week hope flt count towards requirement cust svc no help,negative
website sucks donkey dicks thought know best,negative
still develop app favorite airline,neutral
crap channels pay watch uk tv,negative
got set thanks,positive
no channel year,neutral
thing see passbook virgin mobile mexico integrate,neutral
giants virgin america match made heaven,positive
thank goodness also see friday nwk gt sf boom,positive
come not iphone app still using making waste paper,negative
back seat entertainment system not accept credit cards apostrophe surname apostrophefail,negative
vx use 6 lga slots instead 4 today adding aus makes less likely,negative
helping step game tindertips tinderchamp,neutral
love people product 1 thing charge herbal tea not black tea not caffeine drinker,positive
thank see soon excited see expansion destinations spread wings,positive
announces new nonstop connecting 39 intro,neutral
adds austin dallas love field route,neutral
sad learn no longer fly sfo gt phl hope returns,negative
tweet cancelled flight chng fee flight rebook one affiliates afiliates,neutral
incredible customer service ever experienced refreshing,positive
see virginamerica come philadelphia phl,neutral
dreaming really open route dallas austin mean houston might next,positive
omg finally,positive
start 5xweekly a319 flights dallas austin 28apr avgeek,neutral
nice see expanding texas not forget us sandiego would love see flights,neutral
kind sucked earphone jack not work flight may want look future passengers,negative
poor experience first computer problem seat malfunction stuck missing meeting san diego,negative
battle route via,neutral
thankyou dal aus route makes day,positive
awesome deals dal aus 39 way,positive
miss nerdbird san jose,neutral
love taking backyard consumers win biz competes,positive
flying love austin excellent news,positive
make every vx plane nerdbird austin one getting nerd love,neutral
please add frequency pdx portland,neutral
congrats vx new route ✈ 🎉,positive
tried offered charge additional 1k new ticket stranded thurs 1st time last time,negative
help flights get 2y old battling cancer needs treatment fund 💗 🎀 💗,neutral
never bad experience one took cake extortion carry items well,negative
spend 5 hours worrying items carryon would broken stolen since could not carry plane lock bag,negative
group e told no room bins got plane room least 4 bags row,negative
thanks making flight lax jfk nightmare forcing check carry bag gate 1,negative
lots flights book site not working phone waiting 10 minutes,negative
flight artisanal cheese wine pairing,positive
virgin america fly direct seattle nyc boston,neutral
classy,positive
sure lot 747 777 jfk lhr flights go lot faster 513mph strong tailwind,positive
minus 32 minutes elevate silver upgrade window opens freeneversucks 😃 👍,positive
save 871 tomorrow,neutral
taking 12 years fly home dallas get shit together,negative
club virgin bumping new york,neutral
would rough trip luckily virginamerica flight weather,positive
thestarter 😁,neutral
please come minneapolis st paul,neutral
yes fyi bff,neutral
another perfect flight come planes sun visors stay carriers make raise,positive
nice rt man steel might faster wifi saying sciencebehindtheexperience,positive
love dancing little richard cool beans,positive
not use passbook still love though lt 3 use email future,positive
thanks free birthday points right,positive
application ios looking saw virgin mexico lt 3,neutral
man steel flies cities though frequency,negative
thanks much sharing added site,positive
good point,neutral
heard virgin mobile hotspot,neutral
got cheese plate flights,neutral
flights,neutral
dad segway best part whole infographic,positive
plans short haul airline europe would defiantly fly guys,positive
wifi better seating,positive
come abc one network channels not,neutral
started flight scolding using overhead bin offered person seated next,negative
not great return calls day could not ask myvxexperience,positive
airlines not cancelled flighting flights bos helping customers get home virgin saying good luck,negative
dear virgin customer stranded sf 3 days 1000cost least accommodate,neutral
use next airline commercial lol,neutral
grouping virgin others bos weather exposed actual cus serv model never flight booking problems virgin,negative
one travelers affected boston storm shocked virgin complete apathy toward customers,negative
umm no reason someone different contact contact get definitive answer,negative
trying make change advance not 24 hours prior tried online earlier wanted 300 change fees,negative
loyal driving nyc pa fly virgin since cut philly flights,positive
way change main cabin main cabin select flight without paying change fee penalty,neutral
guys perfect always lt 3 wervirgin,positive
thanks best customer service left industry,positive
give silver status 12 months,neutral
really wish would fly fargo fares amazings,positive
mood lighting point reclining seat kickin feet 🙌 💤,negative
flight 6000 scheduled 1pm departure still says time no plane gate update long delay,negative
group got cancelled flightlation fees waived cannot ticket booked 2 18 reps no help either 😡,negative
sign bonuses enroll elevate,neutral
got 1pm newark home la folks ewr incredible letsgohome,positive
morning question regarding elevate points flights dm,neutral
still waiting see dev 😞,neutral
wondering guys recieved dm able potentially respond soon possible,neutral
flying lax sfo looking awesome movie lineup actually wish long haul,positive
book town fares 59 way restr,neutral
thanks taking care mr happy customer,positive
still no refund word via dm please resolve issue cancelled flightled flight useless assistant trip,negative
delayed due lack crew delayed long line deicing still need improve service united,negative
thanks filled luck common,positive
eri ord express connections hugely popular could eri ewr hop,negative
even international flight glasgow orlando newark 90 mins,neutral
think boarded flight au1066 early think,negative
understand tough no way get airport w serious risk accident steep price,neutral
gate agent hooked alternate flights way prevent constant issues would rock,negative
flying gla mco weeks long airport departure international domestic ta,neutral
thanks ticket,positive
not law policy,neutral
worst nonrefundable first class tickets oh select global fc system auto selects economy w upgrade,negative
buy tix 3 days flight cannot transfer tix flawed security logic flawed customer service,negative
start claim 8 10 weeks unrealistic really supposed go long car seat child ridiculous,negative
follow please airline beautifull ♥,positive
no not sure united info system,neutral
car seat lost reimburse new one not pair shoes necessity child,negative
submitted response link sent,neutral
yes david allan send email number kmm 2499956 3v99860l0km case 8719519,neutral
totally sucks cousin worked phl said,negative
wanted let know wonderful rosetta gate agent working flight 6457 dan ase let know wasappreciated,positive
yes paper voucher got january 26th 2015,neutral
beginning feb called united said would send another voucher mail never got anything tiredofwaiting,negative
internet great thing emailing executives company maybe respond timely manner,negative
need use chase united club pass 8yr old son come pass,neutral
suppose number,neutral
weak see ya hey 👋,negative
flew back w company since united not earlier flight,negative
lost voucher given miami aeroport jan 26 not use,neutral
trying book awards september need flights not show even w many award seats availab,negative
sure drive total 3 hours get bag would like explain debacle no one wants talk,negative
gee like almost caring people think int trusted adult w daughter,neutral
see told repeatedly pilot late flight kept getting late flightr boarded defibrillator issue,negative
no preferred security line anymore tsa pre check not pull partner flight platinum spoiled,negative
newarkliberty airport need indicate different gate terminals c flyingainteasy,negative
yes please newly married trying update last name preexisting international flight seems easy,negative
united refuse reissue 400 lost voucher plane not take due mechanics badcustomerservice,negative
also run instructed shattered computer,negative
yes agents last 50 minutes one agents rude thankfully ladan nice,negative
right overnight miami,neutral
clients 11 hr layover iah day claim recheck luggage taken care,neutral
trying find loaner seat new used used car seat illegal according safety regulations,neutral
dmed details,neutral
iah charlotte baggage claim rep latrice h customerservice non existent ignored customer inappropriately touched customer,negative
kewl also let know overhead bin row inop love good abbreve,neutral
thanks help got need issue @ austrian guess sit awhile longer,positive
would loved respond website saw really long form business new seats bad,negative
refund flight vouchers another flight different airline expense today 8 hour drive inconvenient,negative
not received call back 3 days infant car seat supposed go anywhere child,negative
thanks concern contact customer care upon return australia,neutral
well sitting ground time waiting gate tiredofthis,negative
airport snow removal method 22 keep good work folks cessna become 747,positive
no need guys not book planes not concern travel someone else moving forward,negative
measly 50 e certificate not appreciate loyal customers wait 3hrs tarmac ua1116 unacceptable,negative
email address username sign available,negative
thank able claim interim expenses cost stuff,positive
rude rude,negative
cannot get boarding pass austrian airlines codeshare flight rebook incls 6 hour layover stuck outside sec,negative
received flights united truly breaks guitars unitedbreaksguitars wantmymoneyback,negative
flew telaviv paid 100 third suitcase not even make plane besides impolite service,negative
bag still colo springs disabled search unfamiliar airport look bag not good outcome,negative
shame no flex tickets transfer rules even calling neurosurgery icu not enough,negative
no denver said not handle baggage made colo springs gave 800 number call no help either,negative
guys need serious training customer service many better options put way guys handle mistakes,negative
6533 ord dca,neutral
found problem avoided like plague told cannot find supervisor,negative
zcc 82u cancelled flight flight 16h advance need connect flight reschedule link not helping help gf waited months see,negative
not flying,negative
addition first flight delayed hour arriving destination 8 hrs late flight,negative
cancelled flighted flight not rebook us added flight drive denver kc thanks,neutral
announcement pre boarding addresses mobility disability requires travel lot stuff preboard,neutral
flew united last month experience awesome,positive
travel booked thru united group dept okc ticket agent less willing help connection lax,negative
v upset disability services told one employees carrying medical equipment rude,negative
thnx quick reply not think assist intl grp put considerable inconvenience today,negative
not transfer flight ticket accompany 11 yr old active military mom emergency brain surgery wow,negative
7 weeks late flightr still not received miles mileageplus gift card 150 starbucks card handed,negative
1k always hoping improvement,negative
not yet complained guy checked luggage throwing bags around unfortunate coincidence hope,negative
okc ticket agent roger mclarren sp less helpful intl group travel problems cannot find supervisor help,negative
mobile apps need construction ground os category expensive get right,negative
another fail united ticket agents okc less helpful could care less problems american come,negative
441 also 1 working wc coach good thing bird landed ahead schedule use wc stat,positive
os not controlled rather app new,neutral
sent email customer care telling may break sincerely hope help 😢,negative
silly flying delta today united club staff attendants surly unhelpful always seem bothered pesky folk,negative
well cannot fix missing buddies 30th birthday negligence attempt make,negative
believe help customer service could not like said want number someone fix,negative
helped baggage service desk said tsa screening fll not bags made bag ewr @ 12,negative
mobile boarding pass disappeared phone standing line board second time week hmm,negative
record rozana newark lovely helpful choosekind,positive
last night 1235 ord lga,neutral
thanks update,positive
dm nuts,neutral
explain eager flight attendant trying ask vision not guide dog,negative
point asking details servicedog book flight crew not read continued,negative
tried no one available bogota everyone rude houston stuck 35 hours guys,negative
worst 2unitedflightsever ua 236 las iad 2 24 mechanical problems took land fix delayed wtfodds,negative
despite bag not making newark good informative email tracking updates help,positive
going ua 236 outbound flight last thurs delayed 4hrs long delay worst 2unitedflightsever,negative
worst 2unitedflightsever ua1429 iad las 2 19 mechanical problems switched aircraft delayed 3 5 hours,negative
crashed trying check,negative
wow deal 30 plus seats available easy change make customer happy,positive
thanks info already knew,neutral
airline trouble winter not getting good customer service contact negotiate resolutions,neutral
768 logan boarding gong show due lax carry enforcement bins full coats no room bags need better system,negative
blackmailed paying 130 extra return ticket nullified san francisco airport terrible service rep scam,negative
email address reach long dm,neutral
disappointed not honor 100 credit given mistakes taking business elsewhere ✌,negative
ua1673 still waiting supposed depart 9 08,negative
credit last trip never came mail,negative
ok 7 months waiting hear airline gave quite bit 30 days requested terrible service,negative
process ever end still waiting reply since 2 months pathetic customerservice,negative
going website flight booking problems three tickets today booted system umpteen times,negative
get account number website says email unavailable,negative
need book two one ways order fly unaccompanied minor,neutral
received 1 bag last night still missing one,negative
need upgrade seats even economy plus like sitting concrete bench,negative
pls help baby hannah get life saving surgeries requires needs help pls donate rt,neutral
bet not honour like mine ey,neutral
2nd flight also delayed no pilots boarded sit scheduling,negative
guess much ask huh,neutral
hard stay upset someone least try show remorse,negative
way simple apology goes long way even hollow one obvious not care well,negative
